warning: Supported source version 'RELEASE_6' from annotation processor 'org.eclipse.sisu.scanners.index.SisuIndexAPT6' less than -source '17'
Note: /home/jmandel/hobby/sushi-rs-snapshot/snapshot/oracle/SnapOracleR4.java uses or overrides a deprecated API.
Note: Recompile with -Xlint:deprecation for details.
1 warning
OK oracle extension-TransmissionIdentifiers snapshot.element=25 messages=0 sortErrors=0
OK oracle extension-administrationReferenceNumber snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-admissionDates snapshot.element=11 messages=0 sortErrors=0
OK oracle extension-authorizationNumber snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-authorizedProviderType snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-careTeamClaimScope snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-certificationType snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-claimResponseReviewer snapshot.element=20 messages=0 sortErrors=0
OK oracle extension-communicatedDiagnosis snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-conditionCode snapshot.element=20 messages=0 sortErrors=0
OK oracle extension-contentModifier snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-diagnosisRecordedDate snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-dischargeDate snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-documentInformation snapshot.element=25 messages=0 sortErrors=0
OK oracle extension-epsdtIndicator snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-errorElement snapshot.element=15 messages=0 sortErrors=0
OK oracle extension-errorFollowupAction snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-errorPath snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-homeHealthCareInformation snapshot.element=15 messages=0 sortErrors=0
OK oracle extension-identifierJurisdiction snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-identifierSubDepartment snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-infoChanged snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-itemAuthorizedDetail snapshot.element=31 messages=0 sortErrors=0
OK oracle extension-itemAuthorizedProvider snapshot.element=21 messages=0 sortErrors=0
OK oracle extension-itemCategory snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-itemCertificationEffectiveDate snapshot.element=11 messages=0 sortErrors=0
OK oracle extension-itemCertificationExpirationDate snapshot.element=11 messages=0 sortErrors=0
OK oracle extension-itemCertificationIssueDate snapshot.element=11 messages=0 sortErrors=0
OK oracle extension-itemPreAuthIssueDate snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-itemPreAuthPeriod snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-itemRequestedServiceDate snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-itemTraceNumber snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-levelOfServiceCode snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-militaryStatus snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-nursingHomeLevelOfCare snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-nursingHomeResidentialStatus snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-patientStatus snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-productOrServiceCodeEnd snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-requestedService snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-revenueCode snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-revenueUnitRateLimit snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-reviewAction snapshot.element=21 messages=0 sortErrors=0
OK oracle extension-reviewActionCode snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-serviceItemRequestType snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-serviceLineNumber snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-timingcalendarpattern snapshot.element=5 messages=0 sortErrors=0
OK oracle extension-timingdeliverypattern snapshot.element=5 messages=0 sortErrors=0
OK oracle modifierextension-infoCancelled snapshot.element=5 messages=0 sortErrors=0
OK oracle profile-beneficiary snapshot.element=88 messages=0 sortErrors=0
OK oracle profile-claim-base snapshot.element=248 messages=0 sortErrors=0
OK oracle profile-claim-inquiry snapshot.element=253 messages=0 sortErrors=0
OK oracle profile-claim-update snapshot.element=289 messages=0 sortErrors=0
OK oracle profile-claim snapshot.element=284 messages=0 sortErrors=0
OK oracle profile-claiminquiryresponse snapshot.element=218 messages=0 sortErrors=0
OK oracle profile-claimresponse-base snapshot.element=217 messages=0 sortErrors=0
OK oracle profile-claimresponse snapshot.element=218 messages=0 sortErrors=0
OK oracle profile-communicationrequest snapshot.element=38 messages=0 sortErrors=0
OK oracle profile-coverage snapshot.element=71 messages=0 sortErrors=0
OK oracle profile-datatype-timing snapshot.element=26 messages=0 sortErrors=0
OK oracle profile-devicerequest snapshot.element=39 messages=0 sortErrors=0
OK oracle profile-documentreference snapshot.element=56 messages=0 sortErrors=0
OK oracle profile-encounter snapshot.element=95 messages=0 sortErrors=0
OK oracle profile-identifier snapshot.element=11 messages=0 sortErrors=0
OK oracle profile-insurer snapshot.element=50 messages=0 sortErrors=0
OK oracle profile-location snapshot.element=51 messages=0 sortErrors=0
OK oracle profile-medicationrequest snapshot.element=85 messages=0 sortErrors=0
OK oracle profile-nutritionorder snapshot.element=72 messages=0 sortErrors=0
OK oracle profile-organization snapshot.element=50 messages=0 sortErrors=0
OK oracle profile-pas-inquiry-request-bundle snapshot.element=80 messages=0 sortErrors=0
OK oracle profile-pas-inquiry-response-bundle snapshot.element=80 messages=0 sortErrors=0
OK oracle profile-pas-request-bundle snapshot.element=80 messages=0 sortErrors=0
OK oracle profile-pas-response-bundle snapshot.element=80 messages=0 sortErrors=0
OK oracle profile-practitioner snapshot.element=55 messages=0 sortErrors=0
OK oracle profile-practitionerrole snapshot.element=42 messages=0 sortErrors=0
OK oracle profile-quantity snapshot.element=8 messages=0 sortErrors=0
OK oracle profile-requestor snapshot.element=50 messages=0 sortErrors=0
OK oracle profile-servicerequest snapshot.element=44 messages=0 sortErrors=0
OK oracle profile-subscriber snapshot.element=88 messages=0 sortErrors=0
OK oracle profile-subscription snapshot.element=43 messages=0 sortErrors=0
OK oracle profile-task snapshot.element=89 messages=0 sortErrors=0
R4 ORACLE BATCH (native-r5): ok=80 failed=0 total=80
